userName,content,score,at,appVersion
Tokoh Indonesia,sinyal jelek buat video call,3,2024-01-23 13:28:33,82.0.3
Gilang Ramadhan,murah harga kuotamya,5,2024-01-23 13:25:41,
Khanza Arisha,Sinyal lawak,1,2024-01-23 13:24:40,82.0.2
Suryadi Galaxy,Sampek s3karang punya saya fak bisa di buka eror Tau lah jdi mless,1,2024-01-23 13:24:28,82.0.3
Linda Suryani,banyak promo,5,2024-01-23 13:23:51,81.13.0
Agus Dyanvario,mantap,5,2024-01-23 13:21:48,82.0.2
Efendi Gea,sangat puas,5,2024-01-23 13:21:45,82.0.2
alisastro udin,good,5,2024-01-23 13:15:57,
_,Hadeh gk ngerti lagi gw udah pake kouta darurat 5 gb tapi yang bisa di pake cuma 2 gb makin males aja gw mage m3😒,1,2024-01-23 13:10:55,82.0.3
Teddy cs,Indosat di cikarang Delta mas jaringan makin parah...!!! Saya pelanggan indosat dari th 2010 merasa kecewa.. Kalo terus begini terpaksa pindah ke yang lain,1,2024-01-23 13:08:26,82.0.3
Mailani Fitri,apk y mantap,5,2024-01-23 13:06:49,82.0.3
Rina Dessy Arsanti,quotanya mantap dan lengkap,5,2024-01-23 13:05:08,82.0.3
Alek Sander,Ko ga bisa login sih di aps IM3 ini aku,2,2024-01-23 13:05:06,82.0.3
Rifqi Mujahidul hayat,Habis di update gak bisa di gunakan malah di suruh reload terus,2,2024-01-23 13:03:25,82.0.3
Didi Harun,sangat bagus,5,2024-01-23 13:03:23,
Ilyas,Baik,5,2024-01-23 12:59:20,82.0.2
Hardy Rayong,"Udah nunggu Loadingnya lama.. Bukannya kebukak malah error / gangguan, sekelas aplikasi IM3 kok macam gini si 🙃",1,2024-01-23 12:59:02,82.0.3
Ipin Lemahputih,woy balikin puls gwe woy gwe top up di appk ini kgk masuk njing appk gak jelas🗿🗿🗿🗿🗿🗿,1,2024-01-23 12:54:03,81.16.0
Ratu Nissa,God job,5,2024-01-23 12:52:24,82.0.3
Ical Desal,bgus,5,2024-01-23 12:52:24,82.0.3
Hafit Yusuf,"Tetep aja bapuk sinyalnya,cuma kuotanya aja yg mahal,tapi sinyal ga berkualitas,ga ada perbaikan,ada Indira juga ga berguna,keluhan tetep ga ditanggapi pelayanan ga ada gunanya",1,2024-01-23 12:40:30,82.0.2
Samsudin Samsudin,aplikasi yang sanget bagus bisa tau berapa sisa kuota kita,4,2024-01-23 12:37:36,82.0.3
Ass,Sangat buruk sangat buruk,1,2024-01-23 12:36:54,
coco,"Beli paket 100GB + Vidio platinum, vidio platinumnya tidak bisa di akses, tapi notifikasinya sudah diaktivasi 😐😐",1,2024-01-23 12:36:33,82.0.2
Surya Ismail,Tetep.ajah mau update mau matikan hp signal internet lemot,1,2024-01-23 12:27:51,82.0.3
yayan jatnika,mantap,5,2024-01-23 12:24:47,81.16.0
kardos antras,beberapa minggu ini sinyalnya jelek,2,2024-01-23 12:24:30,82.0.2
Kolot Kalapa,Bagus tapi kadang mahal kadang murah,5,2024-01-23 12:19:12,
Rafi Raker,nyiptain kartu jelek sinyal lemot,1,2024-01-23 12:16:52,81.15.0
Adriansyah Aco,banyakin bonus kuota,5,2024-01-23 12:16:42,
Rizkii. magdatama,sinyal busuk,1,2024-01-23 12:12:46,82.0.3
hu Zien,"kuota nya mahal"" semua,mending jaringan bagus,dikit"" erorr huhhh ga guna",2,2024-01-23 12:11:28,81.13.0
Cici Winingsih,baik,5,2024-01-23 12:11:02,82.0.3
Andrie Tecno Spark,This is unexpected. Currently our dystem has a problem and is unable to process your request Kok begini bos,3,2024-01-23 12:07:29,82.0.3
Heru Hermawan,"Setelan 1 tahun lama nya aku menggunakan kartu im3, awal nya ok"" aja, tapi sekarang makin lama makin kesini, bukan nya paketan/kuota masih utuh, setelah aku ganti kartu sim card ke hp lain, kuota tsbt malah hilang/hangus 😔",1,2024-01-23 12:06:52,81.10.0
Dymas,"Kenapa cuma app saya saja yang tidak bisa masuk. Ada kendala lah,perbaikan lah. Tapi cuma di akun saya saja,akun teman saya tidak ada masalah..",1,2024-01-23 12:05:22,82.0.3
Setia Wardanang,mantap,5,2024-01-23 12:02:29,82.0.3
Jajang Nurjaman,mantul,5,2024-01-23 12:00:36,81.15.0
Bmp Llg,puas banget,5,2024-01-23 11:59:58,82.0.3
Purnomo Damara,sangat puas,5,2024-01-23 11:59:45,82.0.3
Aries Agatta,Harus nya ad scan kode nya sih biar praktis,4,2024-01-23 11:58:57,82.0.3
Mhd Reza syahputra,mantap,4,2024-01-23 11:56:42,81.16.0
Edo nur Fauzi,Peketan mahal sinyal jelek,1,2024-01-23 11:53:51,82.0.3
Elly Elley,Gatau kenapa aplikasinya error trus,1,2024-01-23 11:53:40,82.0.3
Eni Setyowati,mantaappppp,4,2024-01-23 11:52:40,82.0.2
Anak Senja188,Oke,4,2024-01-23 11:50:40,81.15.0
Kadek Winiasih,Poinya ilang,1,2024-01-23 11:44:39,81.16.0
Widianto G-pluck,Awas m3 banyak pop up nipu nipu aq habis beli kuota 35gb harga 100k 2 hari lenyap check paket gak bisa....aq isi pulsa lagi 100k eh asu kepotong 6k katanya bayar pulsa darurat.....makin miskin admin m3 nyolong nipu aq udah 15 thn pake nomer ini woey indira asu,1,2024-01-23 11:38:11,
Ipur Maspuroh,Sinyal sangat jlk sudah 3 hari menghilang banyak pelanggan yang ingin pindah ke Telkomsel,1,2024-01-23 11:36:39,81.16.0
Bambang Hariyo Seto,"Gak jelas, beli kuota saldo ke potong paket gagal transaksi tulisannya, gak jelas emang",1,2024-01-23 11:34:55,82.0.3
Rizky Saputra,suka,5,2024-01-23 11:30:59,82.0.3
Agus Wahyudi,Sangat membantu,5,2024-01-23 11:29:08,82.0.3
Sahrul Suaka,Kouta gratis dong,5,2024-01-23 11:28:18,82.0.3
Gabriel,jaringan nya jelek suka ngilang,1,2024-01-23 11:27:45,82.0.3
Hami Buldani,"pelayanannya jelek banget,pas pemrosesan pembelian paket ngaretnya lama parah apa lagi sinyal yang suka ilang sendiri bikin ga nyaman,sama suka ngasih promo tapi gabisa di beli,trus ini barusan ada pemberitahuan kuota abis tapi di riwayat pemakain cuman terpakai 19GB pdhl kuota saya 50GB kok bisa yang 31GB lariny kemana kok ga ke deteksi",1,2024-01-23 11:24:30,82.0.2
chaerul anam,"Tiap bulan internet 150k, jd pelanggan bukan tmbh murah malah makin mahalll aja, sinyal lemah, habis kuota gak ada notif, piye iki soonn , kepikiran ganti provider aja pelayananya kurang🫡",1,2024-01-23 11:23:12,82.0.3
Anggita Winedar,"Aplikasi nggak guna, kebanyakan error",2,2024-01-23 11:21:55,80.6.0
Hida Yat,sangat bagus,5,2024-01-23 11:21:42,82.0.3
Aji Saputra,lumayan,4,2024-01-23 11:20:49,81.16.0
Caty gaming,Abis gedunglu kebakaran makin lama makin lemot ngbtottt,1,2024-01-23 11:17:07,82.0.3
Ari Nugraha,makasih,5,2024-01-23 11:15:17,82.0.3
Yosep Panjang,ok ini,5,2024-01-23 11:11:54,82.0.2
Nona Usagi,"Paket data selalu naik dan berubah-ubah, terakhir paling parah 50rb buat kuota 10GB. Helloooooww itu seriusan?!",1,2024-01-23 11:08:59,81.10.1
Asri Al Tsaqafat,bagus untuk di gunakan,5,2024-01-23 11:04:01,82.0.3
Erlintang Pinkan Kunendra,"APK TOLOL, PULSA KESEDOT TERUS",1,2024-01-23 10:56:44,82.0.3
Nur Tajudin,senang amat puas apke im3,5,2024-01-23 10:53:11,82.0.3
Dimas Vallenci,jelek,1,2024-01-23 10:50:55,82.0.3
Shinta Apriliyani,hhse,3,2024-01-23 10:43:19,81.16.0
Maya Kucing,mantap,5,2024-01-23 10:43:18,82.0.3
FAJAR HENGKI,Sangat-sangat tidak memuaskan Udah mahal setiap isi pulsa di ambil Mulu taii,1,2024-01-23 10:42:24,82.0.3
sofyan yank,"Masih susah aja untuk masuk di "" myIM3..",1,2024-01-23 10:37:17,82.0.3
Reynaldo Yoga Pratama,Saya ingin mendaftar namun kode otp tidak terkirim,1,2024-01-23 10:32:51,82.0.3
Rini Juwita,trbaik,4,2024-01-23 10:32:43,81.10.1
Muhammad Gibran Pratama,Suka sama im3,5,2024-01-23 10:26:11,81.16.0
Gitong ne,sanggat bagus,5,2024-01-23 10:25:32,82.0.3
Salma Mhazha,ok,5,2024-01-23 10:20:36,82.0.3
Muhammad Ilmi,Apk buruk sinyal ga pernah bagus,1,2024-01-23 10:18:03,82.0.2
Monkey D Lufy,Kok ubdate nya malah gini anj,1,2024-01-23 10:14:12,
Siti Maesaroh,ok,4,2024-01-23 10:10:15,82.0.3
Alfa Rasyid,"Saya pengguna indosat dari sekitaran 6 tahun,kenapa ya setiap cs mau ditanyainnnya cepet"" banget,coba di cek lagi indosat untuk csnya padahal saya kalo ngmng ama mereka santai kok",2,2024-01-23 10:06:33,82.0.3
Asmoro Santo,"im3 luar biasa jaringan nya sangat"" bagus nnton youtube sampai gak gerak video nya",2,2024-01-23 10:01:09,
Herawan Widodo,bagus sekali,5,2024-01-23 09:56:35,82.0.3
Murtini Rahmat,bagus,5,2024-01-23 09:55:59,82.0.3
Benny VanHoutten,Tambah mahal harga paketanya,1,2024-01-23 09:52:49,82.0.2
Agus Kurniawan,Saya kecewa berat sama Indosat yang begitu buruk terhadap sinyal merah menerus saat bermain game selalu merah kuning merah itu perbaikan,1,2024-01-23 09:47:26,82.0.3
Clarence Clarence,sangat memuaskan serta informasi yang tepat,5,2024-01-23 09:44:51,82.0.2
KUUHAKU,"""penyesuaian harga dilakukan untuk peningkatan kualiatas"". Padahal jelas-jelas semenjak harga dinaikin sinyal makin ampas. Ada yang namanya ""ada harga ada kualitas"" la terus hargamu mahal kualitasmu busuk gitu gmn? Gangguan berhari-hari tapi ga ada pertanggung jawaban,CS tidak memberikan penyelesaian yang solutif, perbaikan lambat,Indosat 2024 mau ngapain?gulung tikar?Mau saya bantu?👎",1,2024-01-23 09:42:49,
Joko Widodo,sangat baik,5,2024-01-23 09:39:32,82.0.3
andri taroki,baik,5,2024-01-23 09:37:26,82.0.3
Rizki Alfarijal,Apaan dah ni aplikasi gua udh beli paketan pulsa udh kepotong tapi Kouta gak masuk,1,2024-01-23 09:37:15,82.0.3
Naufal Albion,kalo jaringan nya rusak kek gini trus.. mending jualan bakso aja lebih baik kon,5,2024-01-23 09:31:49,81.11.0
Muhamad Irpan Andika,"Di layar HP 4G + bar sinyal full, eh pas buka aplikasi malah nge leg terus.",2,2024-01-23 09:26:58,82.0.2
iril anwar (Chairil Anwar Lubis),terbaik,5,2024-01-23 09:26:49,82.0.2
Ool fatfat,"Parah sih gw beli paket pembayarannya pake dana sampe sekarang paket nya ga masuk, udah gw chat ke cs udah ngajuin laporan tetep aja ga ada ijab qobul nya hahaha parah bgt indosat",1,2024-01-23 09:25:46,
Parti P,Sinyal bagus,4,2024-01-23 09:23:19,82.0.2
Rizki Gunawan,Jaringan nya jelek bikin gua kesel aja gua lagi main eh Tiba tiba ngeleg,1,2024-01-23 09:21:36,82.0.2
Hendra Syaputra,kartu SIM yg sangat bagus cuma saja sering hilang jaringan,4,2024-01-23 09:19:53,81.6.0
Hesty Purwadinata,mrasa puas,5,2024-01-23 09:07:32,82.0.3
Ferdi Yan,baguss,5,2024-01-23 09:02:47,82.0.3
Ruly Suhardiman,"Semakin di up aplikasinya , semakin mahal pula harga kouta nya 😂 jaringan gak pernah bagus terus, anak setan provider ini.",1,2024-01-23 09:02:38,82.0.2
eva silfiana,"Kuota sisa 10Gb langsung diturunkan kecepatanya, strategi marketing yg bagus",1,2024-01-23 08:59:03,
Fajar adalah Raja,sangat baik walaupun sekarang terlalu mahal,5,2024-01-23 08:58:08,82.0.3
WB chanel,bagus,5,2024-01-23 08:56:11,82.0.2
irfan Aneuk Atjeh,irfan Aneuk Atjeh..puassss,5,2024-01-23 08:54:57,82.0.2
diki lukmana,GAK BISA DIBUKA,1,2024-01-23 08:51:36,82.0.3
LegGer CH // Galang Gaming,"Ni kartu makin lama makin ngelunjak ya,biasanya 30rb dapet 10gb,masa sekarang 35rb cuma dapet 5gb, yang masuk akal dikit, mending gw balik ke Axis lagi meski di pandang rendah sama orang2, paket terjangkau dan banyak bonus, im3 gaada bonus ngelunjak harganya kocak!!",1,2024-01-23 08:50:31,
Mila Kadir19,sejauh ini..jaringannya bagus di daerah ku.. pelayan ok,5,2024-01-23 08:50:08,82.0.3
ammar ammar,aplikasi ini kenapa top up game free fire 50 dm 10k diamond nya blum masuk udh masukin id yg bnr dan email yg bnr tolong di perbaiki,1,2024-01-23 08:31:16,82.0.3
Aliyaa Tuy,bagus banget,5,2024-01-23 08:28:15,82.0.3
Dwi Martina,Setelah di update kenapa saat membeli kuota atau data semakin lama menunggu prosesnya dan tidak langsung terbeli.,2,2024-01-23 08:22:15,82.0.3
Miftah Smith,sangat puas dengan aplikasi myIM3,3,2024-01-23 08:13:11,82.0.3
Atunna Atun,bagus,5,2024-01-23 08:12:29,82.0.3
funny moment,Smakin tolol apk im3 dibuka malah ngebug di logo tolol,2,2024-01-23 08:10:40,82.0.3
PON XX OP,oke bagus,4,2024-01-23 08:05:36,
Syafira 122,senang sekali,5,2024-01-23 08:03:17,
Jahrah Aulia,tidak mendapatkan kouta geratis,1,2024-01-23 08:01:34,82.0.3
Aji Lesmana,jos gandosss jos,5,2024-01-23 07:57:57,82.0.3
Syakila Ewok,ok,5,2024-01-23 07:54:48,82.0.3
SAY,",i",1,2024-01-23 07:54:05,82.0.3
hartato hrt,ok,5,2024-01-23 07:44:43,81.10.1
Sugiharto,Mantap,5,2024-01-23 07:42:41,82.0.3
Ikona Bb,aku mau kuota 10GB,5,2024-01-23 07:41:24,82.0.3
Jumanai Unity,baik sekali,5,2024-01-23 07:38:50,82.0.3
Cucunya Deren Firdaus,: W,1,2024-01-23 07:37:58,
akdan mahya,wah hhh,3,2024-01-23 07:35:22,
Nadia Agustina,baik,5,2024-01-23 07:35:02,82.0.2
Ubai Dillah,puas,5,2024-01-23 07:30:22,82.0.3
Sahabat Arosbaya,Aku top. Up 355 diamond ff kok ga masuk ngerugiin orang tau ga apk haram,1,2024-01-23 07:27:54,82.0.3
Phyn,Aplikasinya lemot ya? Mau beli paket kuota jdi kesulitan.,3,2024-01-23 07:14:54,82.0.3
Lal Bole,2024 harus nya di sambut lebih baik dong sinyal nya malah taun baru sinyal kek asuuu taiii,1,2024-01-23 07:12:03,
Firman Maulana,Aplikasi dengan performa buruk,1,2024-01-23 07:09:58,82.0.3
Muhammad Minhaj Simbi,good,5,2024-01-23 07:02:06,82.0.3
Siti Nasuha,sangat menarik pakai indosat,5,2024-01-23 06:57:23,82.0.3
Diki Gauzan,bagus,4,2024-01-23 06:53:50,
Leli Setianingsih,baik,5,2024-01-23 06:47:54,82.0.2
bhella 47,sangat murah,5,2024-01-23 06:42:58,82.0.3
Muhammmad Luthfi rahman,Apk nya bagus tolong ditambahkan penjualan paket untuk masa aktif soalnya saya Makai kartunya bergantian karena banyak kartu jadi tolongditambahkan paket masa aktif biar hemat terimakasih banyak 🙏 dan tolong tambahin hadiah yang tukar poinyya itu paket data untuk 30 hari dan jangan mahal mahal kurangilah poin yang harus dikumpulkan untuk tukar hadiahnya.tolong.terima kasih dan jaringannya tolong stabil jaringannya lemot,5,2024-01-23 06:42:41,81.10.1
Faris Aldi wardana,dahulu tahun 2017 lama kartu kouta IM3 hidup panjang beli pulsa terus sukses keren sobat terimakasih,5,2024-01-23 06:26:15,82.0.3
Ranimelita Sari,mntap,4,2024-01-23 06:22:37,81.15.0
Muhammad Dedi,Kartu babi tiap hari jelek Mulu jaringan nya puki kartu rendahan,1,2024-01-23 06:16:14,82.0.2
Latifah AdiDealova,m3 emang terbaik,5,2024-01-23 06:15:29,82.0.3
Pilosi Pilosi,tidak bisa claim kuota yg 1gb aneh,1,2024-01-23 06:12:08,82.0.3
Muhammad Yusuf,bagus,5,2024-01-23 06:08:07,82.0.3
Ahmad Nasr,ok,5,2024-01-23 06:08:04,82.0.3
Iksan Maulana,Tambahkan pembayaran lewat Bank BSI,5,2024-01-23 06:01:47,82.0.3
Tuan Raden,"Percuma ada hp klo pakai kartu sim sampah seprti indosat. Lu smua operator indosat cuna mkn gaji buta. Bukan di perbaiki malah makin hancur . Jaringan data sering gagal koneksi, sinyal tiba"" hilang...itu trjadi setiap wktu. Bukan setiap hari. Jgn para operator taunya cuma bilang cek restart device doang. Ngk ada beda nya. Seumur hidup . Ngk akan gua pake ini kartu sampah",1,2024-01-23 05:54:50,82.0.3
Ujank Meiyanto,Lama-lama indosat semakin buruk pelayanan buat main apa aja gak nyaman. Apa lagi pas hujan dn mati listrik gak ada sinyal.,1,2024-01-23 05:54:04,82.0.2
Agung Widyastoro,"Tolonglahh, habis di update malah mau ngisi/scan voucher aja susah banget, mana di cari kaga ketemu-ketemu. Balikin seperti sebelumnya aja, lebih gampang buat scan voucher. Coba dimana letaknya buat scan voucher?",2,2024-01-23 05:41:29,82.0.3
neng rima,menarik jugaa,5,2024-01-23 05:39:56,81.16.0
NUR ROHMAN,bagus,5,2024-01-23 05:26:50,82.0.3
nova ahandi,Signal jelek harga Kouta makin naik ga recommended,1,2024-01-23 05:25:49,81.11.0
BocahGo gamming,tolol masih ada kuota darurat malah pulsa ikutan di potong.. nanti pas isi ulang di potong lagi.. IM3 makin lama makin nggak jelas gblk...,1,2024-01-23 05:23:58,81.13.0
thopeeng,telat minum obat ya.....nie penyakitnya kambuh,1,2024-01-23 05:23:42,81.7.0
Yogo Ono,Semoga lebih meningkatkan yang terbaiknya untuk menjadi yang terbaik.,3,2024-01-23 05:23:14,82.0.2
Asef Saeful,ok,5,2024-01-23 05:15:08,82.0.3
Khairil Anwar,mantap,5,2024-01-23 05:14:44,82.0.2
Reza Widiyanto,Sangat bagus,5,2024-01-23 05:11:48,
Januari 06,"Banyak bug,tidak bisa di buka",1,2024-01-23 05:11:26,82.0.3
Mas Noto,im3 memang pilihan untuk saat ini rekomendasi banget dan untuk pembelian kuota terbilang cukup bagus moga saja banyak promo promo kuota dan sinyal tetap bagus,4,2024-01-23 05:10:57,82.0.3
Anis Aprianti,"memudahkan, goodjob",5,2024-01-23 05:06:17,82.0.3
Bilal Bihan,sangat puas,4,2024-01-23 04:55:13,82.0.3
Ahmad Sanawi,sangat baik,5,2024-01-23 04:51:29,82.0.3
Lili Priansyah (zoei),"Bintang 4 dulu iya kak, nanti kalo ada perubahan sinyal bagus baru ganti bintang 5 🙏",4,2024-01-23 04:48:07,82.0.3
Azat Skk,Kebanyakan gangguan nih kartu,1,2024-01-23 04:47:24,
Balia Alkaff,"Saya Mantap,Kuota Bulan ini habis.Pindah ke jaringan sebelah...sinyalmu Bosok Sat indosat..",1,2024-01-23 04:45:44,82.0.2
Ade Ahmad,sangat baik dan membantu sekali,5,2024-01-23 04:39:01,82.0.3
SULTAN RIMBA,Mudah untuk cek pulsa.,1,2024-01-23 04:37:11,82.0.3
BINTANG RAGELA,"makin lama makin aneh ini provider, jaringan ilang tiba-tiba, harga ga jelas suka berubah-ubah drastis, benerin dong kalau naruh harga juga jangan drastis beda jauh banget antara hari sebelumnya sama hari setelahnya",1,2024-01-23 04:24:39,82.0.3
Ridho Hd,Jaringan nya goblog,1,2024-01-23 04:18:12,82.0.3
Rangga Ahmad,indonesia,1,2024-01-23 04:08:34,
Flixend,"Gak bisa di buka, padahal data udh hidup dan nomor udh terdaftar di Im3.",1,2024-01-23 03:56:50,82.0.3
Muhammad Niko,Qaq,5,2024-01-23 03:48:12,82.0.2
Agus Sobari,good,5,2024-01-23 03:34:26,82.0.3
Samsung J5prime,bgus,1,2024-01-23 03:25:39,82.0.3
FIKRI MAULANA,"Nyesel saya beli kartu indosat lagi. Makin kesini sinyalnya makin jelek udah gitu sinyalnya suka ilang secara tiba tiba, yabg tadinya 4G tiba tiba ilang rasanya sampai saya ingin berkata kasar",2,2024-01-23 03:18:09,80.8.1
Ahmad Raya,mantap,2,2024-01-23 03:15:01,81.16.0
Ajun Rois,baik,1,2024-01-23 03:11:52,81.13.0
Callysta 18,ok,5,2024-01-23 03:09:01,82.0.3
Ronyani Royani,Nice,5,2024-01-23 03:08:59,
Sahyun Aziz,Sinyal bodoh bikin comeback musuhnya,3,2024-01-23 03:00:42,82.0.2
king moba,baik,5,2024-01-23 02:58:25,82.0.3
Dafa Febryanto,"Sinyal Indosat,tolong min diperbaiki kalo nggak di perbaiki gw nggak bakal lagi pakek kartu Indosat sampe gw mati.",1,2024-01-23 02:50:11,82.0.2
Adi Wijaya,bagus sekali,5,2024-01-23 02:46:12,82.0.3
Dede Wahyudin,Puas banget,5,2024-01-23 02:46:04,
Tonti Yarti,sangat bisa membantu,4,2024-01-23 02:44:17,
Muhammad Rendra,sinyal benerin woiiiii,2,2024-01-23 02:39:28,82.0.3
Yani Suseno,GOOD,5,2024-01-23 02:33:31,81.16.0
MAS_ DN (DANI),Sinyal burik banget,1,2024-01-23 02:28:55,
Gelas KosongTM,Kenapa aplikasinya tidak bisa dibuka hari ini (23 Januari) padahal sudah diupdate. Masukan untuk myim3 agar jangan pelit kasih bonus kuota internet setiap pelanggan isi pulsa/beli paket data internet (semakin besar nominal pulsa/paket data yang dibeli maka semakin besar bonusnya). Jangan kalah dengan pesaing operator sebelah.,4,2024-01-23 02:25:20,82.0.3
Rissa Anggara,baik sekali,5,2024-01-23 02:22:51,82.0.2
Toni Jya,bagi sata kuota 10GB,5,2024-01-23 02:20:25,82.0.3
Anggi Supriyadi,M3 knpa sie udah harga kuota ga jelas.. rubah2 Mulu beli kuota yg mingguan sinyal susah beli yg seratus ribu ga kek dulu dpt 50 GB Heran,2,2024-01-23 02:20:03,82.0.3
Yuzan,Maaf yaa cuma bisa kasih bintang 2 soalnya di aplikasi my IM3 enggak ada fitur kunci pulsa nya🙏.,2,2024-01-23 02:11:35,82.0.3
sahrul sahrul gan,Makin bagus,1,2024-01-23 02:09:40,
Regitha aulia,good,5,2024-01-23 02:07:48,82.0.3
Balya Arum,oke,3,2024-01-23 02:05:36,81.13.0
Nasya Felia,"Top up pulsa via DANA, transaksi berhasil tapi pulsa ga masuk ke nomor tujuan, menghubungi cs im3 tanggapannya sangat tidak baik, jadi malas pake 1m3",1,2024-01-23 02:01:26,
Muhammad erfan Gunawan Erfan Gunawan,bagus banget,5,2024-01-23 01:55:21,82.0.3
PDL,Aplikasi tidak berfungsi,1,2024-01-23 01:48:16,82.0.3
Dani ir,Jangan beli IndosatCare lagi sinyal nyo macam taekk,1,2024-01-23 01:46:28,
wiro sableng,masok,3,2024-01-23 01:45:05,82.0.3
Jio Melayu,jaringan nya kurang lancar dan tolong jangan lelet dooong.,2,2024-01-23 01:39:22,82.0.3
Fitria Andriani,Kok makin ksini makin mahal,1,2024-01-23 01:38:10,82.0.2
Tomket Ngabret,puas,5,2024-01-23 01:16:39,
dede amaliapertiwi,daftar kios blom bisa min,4,2024-01-23 01:09:52,82.0.3
Wildan Udin,"kok mahal bet isi paketnya, terus sering ilang ilang pula sinyal nya",3,2024-01-23 01:06:39,82.0.2
Kiki Pintar,Kouta mahal dan jaringan jelek,1,2024-01-23 01:03:16,
Asbudi Asbudi ancol,penting,5,2024-01-23 01:01:10,82.0.3
Willy Rachmat,yah terbaik,5,2024-01-23 00:57:47,82.0.3
Fikri Bagus,bagus sinyal yah good,5,2024-01-23 00:50:32,82.0.3
arwid Lisnandar,"INDOSAT SEKARANG SEKARANG INI UNTUK DAERAH CIAMIS JAWA BARAT SERING GANGGUAN, DENGAN ALASAN PERBAIKAN,,, HADEUH MULAI GAK JELAS INI...",1,2024-01-23 00:40:56,
Yovani Orlando,"Semakin lelet saja nih Indosat, kenapa?",1,2024-01-23 00:39:30,82.0.2
joe,"makin kaco aja,nyesel gw beli paket m3.. lemot bgt,apaan 10/kb..",1,2024-01-23 00:35:08,82.0.3
Lina Dwi Lestari,"Kenapa ya akhir akhir ini, pas saya mau aktifin paket selalu gagal padahal pulsa mencukupi tapi selalu gagal terus kalo lewat apk",2,2024-01-23 00:32:36,82.0.3
Syakila yp,"Gangguan teruss,jelekkkk",1,2024-01-23 00:29:18,82.0.3
Riki Iki,"Kecewa sama jaringan yang suka tiba² ilang padahal awalnya normal² ajh, kuota juga masih ada.",1,2024-01-23 00:25:50,82.0.2
Wanra Marbun,tidal dapat siyal disetiap tempat,1,2024-01-23 00:25:15,82.0.2
Yusufhendri Hendri,👍👍👍👍👍,5,2024-01-23 00:24:52,81.16.0
Anna Geresya,Semakin mahal paket internetnya,3,2024-01-23 00:23:17,
Aldi Aliyandi,puas sangat membantu,5,2024-01-23 00:18:50,82.0.3
dione kasep,Nyesel mahal2 beli paket sinyal nya jelek parah,1,2024-01-23 00:16:43,
Abdullah Harits,bagus,5,2024-01-23 00:15:30,82.0.3
Sanudin Sudin,mantap sekali ayo Download,5,2024-01-23 00:11:53,82.0.3
Muhamad Fiqran,kelog out sendiri mulu,1,2024-01-23 00:11:09,82.0.3
Steven Wangyi,Makin kesini mahal paket internet Ada promo 1 hari besok nya hilang promonya haduh. Enak yang versi lama,1,2024-01-23 00:07:12,
Sandy Mulyana,"Sinyal gk bisa di pake gimana ini, buat cek kuota lewat aplikasi aja susah, Pindah provider aja kalau gini",1,2024-01-23 00:06:15,82.0.2
Dika Ya,Tolong jaringannya di perbaiki karena suka lemot kaga jls untuk sekarang bintang dua cukup kalo dah bagus tambah bintang lagi🙏🙏,2,2024-01-23 00:04:50,81.10.1
Zaki Farhan418,Pepek manaa pulsaaa kuuu.... Aku beruu belikk semalamm ... 10 rb tinggal 2 rb kemanaa pulsaaa nyaa nggak adak di pakek niatt nyaa mau belikk paket dari situu malahh hilanggg #sama ajj kayak telkomsel kauu gak ada buang nyaa soall nyurik pulsaa,1,2024-01-22 23:58:56,82.0.2
Just grey,Habis update malah gabisa di buka apk nya. mentok logo doang.,1,2024-01-22 23:58:16,82.0.3
Siti suryani Yani,asik,5,2024-01-22 23:50:55,82.0.3
Ananta Saputra,im3 semakin mahal,5,2024-01-22 23:50:48,
Hary Haryanto,good,5,2024-01-22 23:37:27,82.0.2
Hamka Zahy Leo,Ngga bisa dibuka,4,2024-01-22 23:37:23,82.0.3
zifa rental audio,ok,2,2024-01-22 23:37:15,82.0.3
Rifky,Ganguan mulu dah gua beli juga pake uang,1,2024-01-22 23:21:31,
Udin Enda,sangat bagus,5,2024-01-22 23:12:07,82.0.2
Lost Control,"JANGAN MAU PAKE INDOSAT !! JARINGAN GA GUNA. PAKET 100GB 30HARI CUMA KEPAKE 1,5GB SISANYA ANGUS. KARNA LEMOT LEBIH PARAH DARI EDGE, GA GUNA SAMPAH",1,2024-01-22 23:11:51,
Edy Sutrisno,Kuota kok kaya angin.. Cepat amat abis nya heran.. Apa lg beli yg 3 gb. Tiap hari cuma sehari... Buset.. Parah,1,2024-01-22 23:10:22,
Redy alif Redy,"Kenaph M3 sering gangguan beda sama dulu"" bagus M3 knph sekarang sering gangguan ..kalau sering gangguan nanti orang"" pinda . Bos.",5,2024-01-22 23:09:37,82.0.2
Siti Masyfufah,Very good..,5,2024-01-22 23:09:32,82.0.3
Ade Muhammad Fauzi,Kenapa sinyal nya gangguan terus,3,2024-01-22 23:06:53,82.0.2
Edwnafgta,Game Panjat Kuota Gajelas Sistem dadu Gaguna Game Ngabisin Paket Aja Nonton Iklan Niat Nyari paket malah Banyak Abis paket Gadapet apa apa Kalo Ga Niat Bagi Kuota Gausah Sosoan bagi Bagi deh Mending Bikin Orang stress aja Gaguna Lu Bikin Gitu gituan im3 Binatang Yatem,1,2024-01-22 23:04:11,
Sidki Weh,"Makin sini bukannya makin nyaman pake m3 malah makin nyesek, woi perbaiki dulu sinyal baru nambah fitur fitur",2,2024-01-22 23:02:39,82.0.2
